student_id	report_id
1265	3634
1251	3613
1355	3658
1305	3527
1306	3627
1244	3624
1261	3571
1259	3619
1323	3589
1325	3600
1332	3644
1351	3642
1256	3635
1318	3623
1263	3611
1266	3569
1330	3585
1240	3621
1335	3632
1253	3586
1308	3626
1293	3575
1241	3591
1307	3633
1252	3521
1328	3646
1260	3643
1255	3532
1268	3604
1247	3618
1315	3610
1239	3517
1334	3596
1254	3605
1329	3640
1356	3657
1258	3617
1303	3648
1243	3620
1321	3584
1250	3594
1353	3647
1316	3637
1245	3533
1341	3587
1302	3529
1331	3638
1337	3654
1352	3628
1310	3639
1246	3582
1262	3636
1314	3629
1354	3720
107	3548
1292	3598
1257	3588
1313	3531
1343	3630
1304	3641
